X,Y,Z
15,-46,-33
-134,-125,-7
-178,-70,6
-37,-266,-78
-206,-158,-22
-326,-221,9
20,-8,89
339,197,-1
-56,-149,-45
-297,-119,-20
25,63,98
291,-131,-106
11,-256,107
222,205,132
198,158,-89
69,96,100
102,-13,-143
248,247,31
-96,-188,-28
233,59,-41
205,55,16
-38,168,-28
-45,6,-45
-224,-8,36
90,-20,-20
-239,-8,-10
-76,-23,-26
61,-64,-94
5,-130,-66
-110,-35,-30
197,-91,-246
-39,-150,-206
388,-225,-249
192,113,-55
1,55,97
138,-52,-45
125,-183,13
41,38,121
28,20,32
129,-27,-43
